NIF,Nombre,Apellido,FechaNacimiento,Sexo,Club
1,Alberto,Rodriguez,1920-01-01,M,Buena Vista
2,Lucia,Ramirez,1925-01-01,F,Buena Vista
3,Joaquin,Marron,1930-01-01,M,Buena Vista
4,Maria,Pozos,1935-01-01,F,Buena Vista
5,Manuel,Silvio,1940-01-01,M,Buena Vista
6,Alba,Tir,1945-01-01,F,Buena Vista
7,Jonay,Sol,1950-01-01,M,Buena Vista
8,Julia,Lopez,1955-01-01,F,Buena Vista
9,Mariano,Joya,1960-01-01,M,Buena Vista
10,Miriam,Ramirez,1965-01-01,F,Buena Vista
11,Xavier,Font,1970-01-01,M,Buena Vista
12,Silvia,Gallego,1975-01-01,F,Buena Vista
13,Antonio,Gutierrez,1980-01-01,M,Buena Vista
14,Matilde,Flores,1985-01-01,F,Buena Vista
15,George,Orbad,1990-01-01,M,Buena Vista
16,Jazmine,Aguas,1995-01-01,F,Buena Vista
17,Julio,Catedrales,2000-01-01,M,Buena Vista
